class,n_gold,prevalence,precision,recall,f1,accuracy,calibrated_auc_in_sample,hard_brier,calibrated_brier_in_sample,mean_training_weight,usable_pseudo_labels
ACL,58,0.41379310344827586,0.8518518518518519,0.9583333333333334,0.9019607843137256,0.9137931034482759,0.9313725490196079,0.08620689655172414,0.07501592050991607,0.8441499471664429,4349
MCL,58,0.15517241379310345,0.75,1.0,0.8571428571428571,0.9482758620689655,0.9761904761904762,0.05172413793103448,0.041251227201967514,0.9261065125465393,4337
Medial Meniscus,58,0.4482758620689655,0.8518518518518519,0.8846153846153846,0.8679245283018868,0.8793103448275862,0.90625,0.1206896551724138,0.10018407938948422,0.6859773397445679,4349
Lateral Meniscus,58,0.39655172413793105,0.8181818181818182,0.782608695652174,0.8,0.8448275862068966,0.8490683229813665,0.15517241379310345,0.12847625414293196,0.673671305179596,4349
Medial OA,58,0.25862068965517243,0.7142857142857143,1.0,0.8333333333333333,0.896551724137931,0.9441860465116279,0.10344827586206896,0.07269736470926401,0.7355521321296692,4349
Lateral OA,58,0.1896551724137931,0.5625,0.8181818181818182,0.6666666666666666,0.8448275862068966,0.8404255319148937,0.15517241379310345,0.10073714180758236,0.7248024940490723,3457
PF OA,58,0.3620689655172414,0.7083333333333334,0.8095238095238095,0.7555555555555556,0.8103448275862069,0.8243243243243243,0.1896551724137931,0.1447501994160164,0.5528808832168579,4162
Effusion,58,0.603448275862069,0.6862745098039216,1.0,0.813953488372093,0.7241379310344828,0.6732919254658385,0.27586206896551724,0.1911635216594215,0.47821781039237976,4349
Synovitis,58,0.46551724137931033,0.7272727272727273,0.5925925925925926,0.6530612244897959,0.7068965517241379,0.7138590203106332,0.29310344827586204,0.2039866995995809,0.37098661065101624,4333
Baker's,58,0.20689655172413793,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.8793103448275862,0.8985507246376812,0.1206896551724138,0.08440750888563969,0.7467561960220337,3893
Contusion,58,0.3275862068965517,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.7931034482758621,0.7874493927125507,0.20689655172413793,0.15281681554032284,0.6381585001945496,4333
Fracture,58,0.3103448275862069,0.7647058823529411,0.7222222222222222,0.7428571428571428,0.8448275862068966,0.8180555555555555,0.15517241379310345,0.12787618423752672,0.7216981053352356,4344
