StudyInstanceUID,SeriesInstanceUID,SOPInstanceUID
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,1.2.826.0.1.3680043.8.498.37372672584387115708078590109474719429,1.2.826.0.1.3680043.8.498.12926290747020459400738116175173075075
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,1.2.826.0.1.3680043.8.498.37372672584387115708078590109474719429,1.2.826.0.1.3680043.8.498.15816192009471781789411751887274617269
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,1.2.826.0.1.3680043.8.498.37372672584387115708078590109474719429,1.2.826.0.1.3680043.8.498.18620823530694220833913585508393425952
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,1.2.826.0.1.3680043.8.498.37372672584387115708078590109474719429,1.2.826.0.1.3680043.8.498.29763306281477008567165542009022804236
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,1.2.826.0.1.3680043.8.498.37372672584387115708078590109474719429,1.2.826.0.1.3680043.8.498.33128395416466782482848651765897105857
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,1.2.826.0.1.3680043.8.498.37372672584387115708078590109474719429,1.2.826.0.1.3680043.8.498.33946371390083649849646486165354690524
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,1.2.826.0.1.3680043.8.498.37372672584387115708078590109474719429,1.2.826.0.1.3680043.8.498.35846715444213179836694868769611207173
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,1.2.826.0.1.3680043.8.498.37372672584387115708078590109474719429,1.2.826.0.1.3680043.8.498.36261780819646104901809285909197366394
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,1.2.826.0.1.3680043.8.498.37372672584387115708078590109474719429,1.2.826.0.1.3680043.8.498.36928625577190921597722243836002911003
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,1.2.826.0.1.3680043.8.498.37372672584387115708078590109474719429,1.2.826.0.1.3680043.8.498.39417566897308718081440683618721468089
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,1.2.826.0.1.3680043.8.498.37372672584387115708078590109474719429,1.2.826.0.1.3680043.8.498.46679750168965624947830499256469477120
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,1.2.826.0.1.3680043.8.498.37372672584387115708078590109474719429,1.2.826.0.1.3680043.8.498.57939623253140022959784845744190482493
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,1.2.826.0.1.3680043.8.498.37372672584387115708078590109474719429,1.2.826.0.1.3680043.8.498.59780013100294561319833329806768502880
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,1.2.826.0.1.3680043.8.498.37372672584387115708078590109474719429,1.2.826.0.1.3680043.8.498.60594935151730462850611703155950807969
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,1.2.826.0.1.3680043.8.498.37372672584387115708078590109474719429,1.2.826.0.1.3680043.8.498.61377118583471738623107535625531488964
1.2.826.0.1.3680043.8.498.10095687747295410396510538520594649149,1.2.826.0.1.3680043.8.498.37372672584387115708078590109474719429,1.2.826.0.1.3680043.8.498.66110354250896889804203025101858576669
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,1.2.826.0.1.3680043.8.498.55642842745139279565158267708282328638,1.2.826.0.1.3680043.8.498.12305513147617381615393367287803445200
1.2.826.0.1.3680043.8.498.10170898615867673028696505248839028269,1.2.826.0.1.3680043.8.498.55642842745139279565158267708282328638,1.2.826.0.1.3680043.8.498.12809476164440542454730545873149095245
