class,best_threshold,f1_at_0.5,f1_at_best,pred_mean,pct_above_0.5,need_tuning
ACL,0.14,0.0,0.4,0.1503172408450733,0.0,YES
MCL,0.060000000000000005,0.0,1.0,0.03974637287584212,0.0,YES
Medial Meniscus,0.34,0.0,0.46153846153846156,0.48579001697626983,36.36363636363637,YES
Lateral Meniscus,0.01,0.0,0.5333333333333333,0.2623803940686313,0.0,YES
Medial OA,0.5,1.0,1.0,0.2872875265099786,18.181818181818183,no
Lateral OA,0.01,0.0,0.3076923076923077,0.06136396662755441,0.0,YES
PF OA,0.29000000000000004,0.0,0.8333333333333334,0.3079074106433175,0.0,YES
Effusion,0.01,0.2,0.7058823529411765,0.45783837275071576,36.36363636363637,YES
Synovitis,0.01,0.0,0.625,0.4145648642019792,0.0,YES
Baker's,0.01,0.0,0.16666666666666666,0.11356823552738535,0.0,YES
Contusion,0.17,0.0,0.36363636363636365,0.18621454591100867,0.0,YES
Fracture,0.18000000000000002,0.0,0.5,0.1636660119349306,0.0,YES
